"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","0.00000","2000","33640","Noraxon MR3 3.20.68","3.20.68","Kevin test","KEVIN","","","male","2025-07-17T16:09:36.565+08:00","EMG 2 channel recording-3"

"time","Activity","Marker","RT VMO (uV)","RT SEMITEND. (uV)"
0.06650,,,3.025557954,4.26982381
0.06700,,,2.109974731,5.185407033
0.06750,,,-0.3315805309,5.185407033
0.06800,,,-2.162746977,3.964629402
0.06850,,,-1.857552569,2.438657364
0.06900,,,-0.0263861232,1.217879733
0.06950,,,1.194391508,1.828268548
0.07000,,,0.5840026922,3.354240587
0.07050,,,0.2788082845,4.880212625
0.07100,,,1.499585915,5.490601441
0.07150,,,2.109974731,4.880212625
0.07200,,,0.2788082845,3.964629402
0.07250,,,-2.162746977,3.964629402
0.07300,,,-3.0783302,4.575018218
0.07350,,,-1.247163754,4.880212625
0.07400,,,1.194391508,4.575018218
0.07450,,,1.499585915,3.964629402
0.07500,,,-0.0263861232,3.659434994
0.07550,,,-2.467941385,3.659434994
0.07600,,,-4.299107831,3.964629402
0.07650,,,-4.604302239,3.964629402
0.07700,,,-3.0783302,4.575018218
0.07750,,,-0.9419693463,4.575018218
0.07800,,,0.5840026922,4.26982381
0.07850,,,1.499585915,3.964629402
0.07900,,,1.804780323,3.354240587
0.07950,,,1.804780323,3.659434994
0.08000,,,1.804780323,3.659434994
0.08050,,,2.415169138,3.049046179
0.08100,,,3.330752362,2.438657364
0.08150,,,3.635946769,3.049046179
0.08200,,,3.941141177,4.26982381
0.08250,,,5.467113215,5.795795848
0.08300,,,6.687890846,5.795795848
0.08350,,,3.941141177,3.964629402
0.08400,,,-1.247163754,1.828268548
0.08450,,,-5.214691054,0.3022965098
0.08500,,,-4.909496646,0.3022965098
0.08550,,,-2.467941385,1.523074141
0.08600,,,-1.857552569,2.133462956
0.08650,,,-1.552358162,2.133462956
0.08700,,,-0.0263861232,2.743851771
0.08750,,,1.194391508,3.964629402
0.08800,,,0.2788082845,4.26982381
0.08850,,,-1.857552569,3.659434994
0.08900,,,-2.467941385,3.049046179
0.08950,,,-0.9419693463,3.659434994
0.09000,,,0.2788082845,4.575018218
0.09050,,,-0.0263861232,4.26982381
0.09100,,,-0.9419693463,3.964629402
0.09150,,,-1.247163754,3.964629402
0.09200,,,-0.6367749386,3.964629402
0.09250,,,-0.0263861232,3.659434994
0.09300,,,-0.3315805309,3.049046179
0.09350,,,-2.773135793,3.354240587
0.09400,,,-5.519885462,3.659434994
0.09450,,,-6.740663093,3.049046179
0.09500,,,-5.519885462,2.438657364
0.09550,,,-2.467941385,3.049046179
0.09600,,,0.2788082845,3.964629402
0.09650,,,3.330752362,4.575018218
0.09700,,,5.161918808,4.575018218
0.09750,,,4.551529992,4.575018218
0.09800,,,0.8891970999,3.964629402
0.09850,,,-3.688719016,2.438657364
0.09900,,,-6.740663093,-0.002897897924
0.09950,,,-8.266635131,-0.6132867133
0.10000,,,-7.351051908,0.6074909175
0.10050,,,-5.214691054,2.133462956
0.10100,,,-2.773135793,3.354240587
0.10150,,,-1.857552569,3.964629402
0.10200,,,-1.247163754,3.964629402
0.10250,,,-0.0263861232,3.354240587
0.10300,,,1.804780323,3.354240587
0.10350,,,1.804780323,4.26982381
0.10400,,,-0.0263861232,5.185407033
0.10450,,,-1.552358162,4.880212625
0.10500,,,-0.0263861232,3.964629402
0.10550,,,1.804780323,3.659434994
0.10600,,,2.109974731,4.575018218
0.10650,,,1.194391508,5.795795848
0.10700,,,1.194391508,6.406184664
0.10750,,,2.109974731,6.711379072
0.10800,,,2.109974731,6.100990256
0.10850,,,0.8891970999,5.185407033
0.10900,,,0.2788082845,4.26982381
0.10950,,,0.8891970999,4.26982381
0.11000,,,2.109974731,4.880212625
0.11050,,,2.720363546,4.880212625
0.11100,,,1.499585915,3.964629402
0.11150,,,-0.6367749386,3.354240587
0.11200,,,-3.688719016,3.049046179
0.11250,,,-4.909496646,3.659434994
0.11300,,,-3.688719016,3.659434994
0.11350,,,-1.552358162,3.049046179
0.11400,,,-0.3315805309,2.743851771
0.11450,,,-0.9419693463,3.659434994
0.11500,,,-2.162746977,4.26982381
0.11550,,,-2.467941385,3.964629402
0.11600,,,-2.162746977,2.438657364
0.11650,,,-2.162746977,0.9126853252
0.11700,,,-3.0783302,0.9126853252
0.11750,,,-4.299107831,2.438657364
0.11800,,,-4.909496646,3.049046179
0.11850,,,-4.909496646,3.049046179
0.11900,,,-4.299107831,3.049046179
0.11950,,,-3.0783302,3.049046179
0.12000,,,-1.247163754,3.354240587
0.12050,,,0.2788082845,3.964629402
0.12100,,,0.5840026922,3.964629402
0.12150,,,-0.0263861232,4.26982381
0.12200,,,-1.247163754,4.26982381
0.12250,,,-1.857552569,4.26982381
0.12300,,,-1.857552569,4.575018218
0.12350,,,-1.857552569,4.575018218
0.12400,,,-1.247163754,3.964629402
0.12450,,,-1.247163754,3.964629402
0.12500,,,-1.247163754,3.964629402
0.12550,,,-1.552358162,3.964629402
0.12600,,,-1.247163754,3.659434994
0.12650,,,-0.0263861232,3.049046179
0.12700,,,0.2788082845,2.743851771
0.12750,,,-0.0263861232,3.354240587
0.12800,,,-0.3315805309,3.964629402
0.12850,,,-0.0263861232,4.575018218
0.12900,,,0.5840026922,4.26982381
0.12950,,,1.194391508,3.354240587
0.13000,,,1.804780323,2.438657364
0.13050,,,2.720363546,2.743851771
0.13100,,,3.330752362,3.354240587
0.13150,,,3.025557954,3.354240587
0.13200,,,1.499585915,2.438657364
0.13250,,,0.5840026922,2.133462956
0.13300,,,1.194391508,3.354240587
0.13350,,,1.804780323,3.964629402
0.13400,,,2.415169138,3.964629402
0.13450,,,3.330752362,3.964629402
0.13500,,,6.077502031,4.26982381
0.13550,,,8.213862885,4.575018218
0.13600,,,8.519057292,4.26982381
0.13650,,,6.993085254,4.26982381
0.13700,,,6.077502031,4.880212625
0.13750,,,6.077502031,5.490601441
0.13800,,,6.993085254,5.490601441
0.13850,,,6.993085254,5.490601441
0.13900,,,6.077502031,5.185407033
0.13950,,,4.551529992,4.880212625
0.14000,,,4.246335585,3.964629402
0.14050,,,4.8567244,3.049046179
0.14100,,,5.467113215,2.133462956
0.14150,,,4.246335585,1.828268548
0.14200,,,1.804780323,2.438657364
0.14250,,,0.2788082845,3.354240587
0.14300,,,1.499585915,4.26982381
0.14350,,,3.025557954,4.880212625
0.14400,,,3.330752362,4.26982381
0.14450,,,1.499585915,3.049046179
0.14500,,,-0.0263861232,1.523074141
0.14550,,,-1.247163754,1.217879733
0.14600,,,-2.162746977,2.133462956
0.14650,,,-3.383524608,2.743851771
0.14700,,,-3.993913423,2.438657364
0.14750,,,-2.773135793,2.438657364
0.14800,,,-0.0263861232,3.354240587
0.14850,,,1.804780323,4.26982381
0.14900,,,3.025557954,4.880212625
0.14950,,,3.330752362,4.575018218
0.15000,,,3.941141177,4.26982381
0.15050,,,3.330752362,4.26982381
0.15100,,,1.194391508,4.26982381
0.15150,,,-1.552358162,3.964629402
0.15200,,,-3.0783302,3.964629402
0.15250,,,-3.993913423,4.26982381
0.15300,,,-5.214691054,5.185407033
0.15350,,,-6.435468685,5.185407033
0.15400,,,-6.130274277,4.26982381
0.15450,,,-5.214691054,3.049046179
0.15500,,,-6.435468685,2.743851771
0.15550,,,-9.487412762,3.354240587
0.15600,,,-11.62377362,3.659434994
0.15650,,,-11.62377362,3.049046179
0.15700,,,-11.62377362,1.828268548
0.15750,,,-12.23416243,2.743851771
0.15800,,,-11.62377362,4.575018218
0.15850,,,-7.961440723,6.100990256
0.15900,,,-4.299107831,5.185407033
0.15950,,,-3.993913423,3.354240587
0.16000,,,-4.604302239,2.743851771
0.16050,,,-3.0783302,3.354240587
0.16100,,,-0.0263861232,3.964629402
0.16150,,,0.8891970999,3.964629402
0.16200,,,-0.6367749386,3.964629402
0.16250,,,-2.467941385,3.964629402
0.16300,,,-2.467941385,3.049046179
0.16350,,,-1.247163754,1.523074141
0.16400,,,-0.0263861232,0.9126853252
0.16450,,,0.5840026922,2.133462956
0.16500,,,0.8891970999,3.659434994
0.16550,,,0.5840026922,4.26982381
0.16600,,,0.2788082845,4.575018218
0.16650,,,0.8891970999,5.185407033
0.16700,,,1.804780323,5.185407033
0.16750,,,1.804780323,4.575018218
0.16800,,,1.499585915,3.659434994
0.16850,,,1.499585915,3.659434994
0.16900,,,1.499585915,4.575018218
0.16950,,,0.2788082845,4.880212625
0.17000,,,-1.247163754,3.964629402
0.17050,,,-2.162746977,3.049046179
0.17100,,,-1.857552569,3.354240587
0.17150,,,-1.857552569,3.964629402
0.17200,,,-1.857552569,4.575018218
0.17250,,,-1.552358162,4.575018218
0.17300,,,-0.9419693463,5.490601441
0.17350,,,-1.247163754,6.711379072
0.17400,,,-1.857552569,6.100990256
0.17450,,,-0.9419693463,4.575018218
0.17500,,,1.499585915,3.659434994
0.17550,,,3.635946769,3.659434994
0.17600,,,3.025557954,3.964629402
0.17650,,,1.804780323,3.964629402
0.17700,,,2.720363546,4.575018218
0.17750,,,5.772307623,5.490601441
0.17800,,,6.993085254,5.795795848
0.17850,,,5.772307623,5.185407033
0.17900,,,4.8567244,4.575018218
0.17950,,,7.298279662,4.575018218
0.18000,,,9.739834923,4.880212625
0.18050,,,9.434640516,4.880212625
0.18100,,,6.993085254,5.185407033
0.18150,,,6.077502031,5.795795848
0.18200,,,7.298279662,6.100990256
0.18250,,,7.298279662,5.795795848
0.18300,,,4.8567244,5.185407033
0.18350,,,3.025557954,5.185407033
0.18400,,,3.025557954,5.185407033
0.18450,,,1.804780323,3.964629402
0.18500,,,-4.604302239,2.438657364
0.18550,,,-12.53935684,1.523074141
0.18600,,,-15.89649532,2.438657364
0.18650,,,-12.84455125,3.964629402
0.18700,,,-8.571829539,4.26982381
0.18750,,,-7.351051908,3.659434994
0.18800,,,-8.571829539,2.438657364
0.18850,,,-8.571829539,2.743851771
0.18900,,,-6.435468685,3.964629402
0.18950,,,-3.993913423,4.880212625
0.19000,,,-2.467941385,4.575018218
0.19050,,,-1.552358162,3.659434994
0.19100,,,-0.6367749386,2.133462956
0.19150,,,0.2788082845,1.828268548
0.19200,,,1.499585915,3.354240587
0.19250,,,2.109974731,5.490601441
0.19300,,,2.720363546,6.406184664
0.19350,,,2.720363546,4.575018218
0.19400,,,2.720363546,2.438657364
0.19450,,,2.415169138,1.523074141
0.19500,,,1.194391508,2.438657364
0.19550,,,-0.0263861232,2.438657364
0.19600,,,-0.0263861232,0.9126853252
0.19650,,,0.2788082845,-0.002897897924
0.19700,,,2.109974731,0.6074909175
0.19750,,,3.941141177,1.828268548
0.19800,,,4.246335585,1.828268548
0.19850,,,2.109974731,1.523074141
0.19900,,,-0.6367749386,2.438657364
0.19950,,,-2.467941385,3.354240587
0.20000,,,-2.162746977,3.659434994
0.20050,,,-0.3315805309,3.659434994
0.20100,,,0.8891970999,3.964629402
0.20150,,,1.804780323,3.964629402
0.20200,,,1.499585915,3.659434994
0.20250,,,0.2788082845,3.354240587
0.20300,,,-1.857552569,3.964629402
0.20350,,,-3.383524608,5.490601441
0.20400,,,-2.773135793,5.795795848
0.20450,,,-1.247163754,4.575018218
0.20500,,,-1.857552569,3.964629402
0.20550,,,-3.688719016,4.575018218
0.20600,,,-3.383524608,5.490601441
0.20650,,,-0.0263861232,5.490601441
0.20700,,,2.720363546,4.880212625
0.20750,,,3.330752362,5.185407033
0.20800,,,2.109974731,6.406184664
0.20850,,,1.499585915,7.626962295
0.20900,,,1.804780323,7.016573479
0.20950,,,1.499585915,5.490601441
0.21000,,,-0.0263861232,4.575018218
0.21050,,,-1.247163754,4.575018218
0.21100,,,-1.857552569,4.575018218
0.21150,,,-0.9419693463,4.26982381
0.21200,,,1.194391508,3.964629402
0.21250,,,4.246335585,3.964629402
0.21300,,,6.077502031,4.26982381
0.21350,,,6.077502031,4.26982381
0.21400,,,5.467113215,3.964629402
0.21450,,,6.077502031,3.964629402
0.21500,,,6.993085254,4.26982381
0.21550,,,6.687890846,4.575018218
0.21600,,,4.246335585,5.185407033
0.21650,,,1.194391508,5.490601441
0.21700,,,-1.247163754,4.575018218
0.21750,,,-3.383524608,3.049046179
